Tool,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
NVSim,Area,STTRAM,256,64843.005,3.759,12.218,6.512,1.337,35.235,133.914,20.742
NVSim,Area,STTRAM,512,121186.023,8.948,17.376,6.418,0.937,39.754,136.634,20.892
NVSim,Area,STTRAM,1024,236030.837,9.096,17.391,4.387,0.936,41.413,139.565,22.254
NVSim,Area,STTRAM,2048,460516.691,29.318,37.549,4.305,0.431,52.099,145.019,23.249
NVSim,Area,STTRAM,4096,912255.755,29.797,37.580,2.438,0.431,63.893,150.878,26.670
NVSim,Area,SRAM,16,10501.780,0.783,0.783,37.610,25.307,3.917,0.961,1.463
NVSim,Area,SRAM,32,20521.916,0.918,0.918,23.503,22.300,6.130,1.107,2.851
NVSim,Area,SRAM,64,39646.851,1.840,1.840,17.219,9.914,12.018,1.783,5.370
NVSim,Area,SRAM,128,78370.000,2.054,2.054,10.686,8.798,20.854,2.074,10.570
NVSim,Area,SRAM,256,153523.106,5.288,5.288,7.315,3.196,41.373,3.347,20.435
NVSim,Area,SRAM,512,305503.730,5.851,5.851,4.522,2.889,76.687,3.929,40.551
NVSim,Area,SRAM,1024,604022.472,17.682,17.682,2.920,0.926,153.008,6.477,79.710
NVSim,Area,SRAM,2048,1205000.0,19.203,19.203,1.783,0.853,294.203,7.640,158.792
NVSim,Area,SRAM,4096,2397000.0,63.767,63.767,1.101,0.253,588.001,12.745,315.525
NVSim,Area,RRAM,16,8543.669,1.915,20.430,9.666,0.789,25.507,83.556,19.587
NVSim,Area,RRAM,32,9202.993,1.984,20.553,8.840,0.784,26.351,86.246,19.718
NVSim,Area,RRAM,64,10623.110,2.159,20.751,7.585,0.778,28.077,91.739,19.980
NVSim,Area,RRAM,128,13368.391,2.441,21.052,5.847,0.767,31.466,102.664,20.499
NVSim,Area,RRAM,256,18679.196,3.013,21.688,4.002,0.745,37.885,123.680,21.538
NVSim,Area,RRAM,512,29594.314,3.097,21.719,3.984,0.745,59.803,144.301,24.208
NVSim,Area,RRAM,1024,59188.627,3.099,21.720,3.984,0.745,60.872,145.370,48.417
NVSim,Area,RRAM,2048,102792.155,3.407,21.855,3.948,0.745,105.772,187.673,61.128
NVSim,Area,RRAM,4096,205584.309,3.412,21.858,3.948,0.745,107.694,189.596,122.255
NVSim,Area,PCRAM,16,,,,,,,,
NVSim,Area,PCRAM,32,,,,,,,,
NVSim,Area,PCRAM,64,,,,,,,,
NVSim,Area,PCRAM,128,,,,,,,,
NVSim,Area,PCRAM,256,,,,,,,,
NVSim,Area,PCRAM,512,,,,,,,,
NVSim,Area,PCRAM,1024,,,,,,,,
NVSim,Area,PCRAM,2048,,,,,,,,
