Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/PCRAM/32KB/32KB.out,48413.2,0.055,150.031,492.303,0.107,293.986,11754.2,15.9409
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/PCRAM/64KB/64KB.out,60342.9,0.076,150.044,406.374,0.107,358.245,11758.6,28.7566
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/PCRAM/128KB/128KB.out,53263.3,0.088,150.06,368.628,0.107,366.446,11758.0,33.7767
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/PCRAM/256KB/256KB.out,46385.2,0.119,150.094,312.539,0.107,420.267,11758.6,22.6074
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/PCRAM/512KB/512KB.out,58588.4,0.136,150.103,312.539,0.107,424.18,11762.5,45.2148
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/PCRAM/1024KB/1024KB.out,92574,0.156,150.115,361.181,0.107,499.954,11767.3,66.4254
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/PCRAM/2048KB/2048KB.out,89514.9,0.178,150.132,171.159,0.107,927.508,11769.1,81.8684
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/PCRAM/4096KB/4096KB.out,130459,0.237,150.175,155.891,0.107,1044.57,11774.9,271.448
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/STTRAM/16KB/16KB.out,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/STTRAM/32KB/32KB.out,778811,2.25915,10.4626,10.5895,1.58104,70.4137,167.139,2483.62
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/STTRAM/64KB/64KB.out,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/STTRAM/128KB/128KB.out,1685270.0,2.71568,10.7015,10.478,1.57573,86.3362,182.22,5054.96
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/STTRAM/256KB/256KB.out,2368380.0,2.81952,10.7273,10.4903,1.58389,110.469,206.226,10266.8
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/STTRAM/512KB/512KB.out,4250380.0,3.99365,11.3692,10.4619,1.56199,117.282,211.588,10456.5
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/STTRAM/1024KB/1024KB.out,5278410.0,4.17798,11.3999,10.2681,1.58104,145.377,239.429,22148.9
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/STTRAM/2048KB/2048KB.out,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/STTRAM/4096KB/4096KB.out,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/SRAM/16KB/16KB.out,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/SRAM/32KB/32KB.out,94133.2,0.153,0.126,233.496,204.778,12.7686,12.2961,13.4895
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/SRAM/64KB/64KB.out,188266,0.276,0.188,233.496,204.778,20.6576,20.1851,26.9791
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/SRAM/128KB/128KB.out,221071,0.276,0.188,233.496,204.778,34.9891,34.5166,53.9581
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/SRAM/256KB/256KB.out,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/SRAM/512KB/512KB.out,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/SRAM/1024KB/1024KB.out,222772,0.277,0.188,233.496,204.778,256.825,256.352,431.665
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/SRAM/2048KB/2048KB.out,386862,0.387,0.276,123.416,109.725,263.058,262.166,986.154
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/SRAM/4096KB/4096KB.out,481254,0.511,0.346,118.21,101.762,269.835,268.91,1176.73
