Tool,Isolation,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
Destiny,iso_area,ReadDynamicEnergy,STTRAM,1024,5278410.0,4.17798,11.3999,10.2681,1.58104,145.377,239.429,22148.9
Destiny,iso_area,ReadDynamicEnergy,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_area,ReadDynamicEnergy,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_area,ReadDynamicEnergy,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_area,ReadDynamicEnergy,SRAM,32,94133.2,0.153,0.126,233.496,204.778,12.7686,12.2961,13.4895
Destiny,iso_area,ReadDynamicEnergy,SRAM,64,188266,0.276,0.188,233.496,204.778,20.6576,20.1851,26.9791
Destiny,iso_area,ReadDynamicEnergy,SRAM,128,221071,0.276,0.188,233.496,204.778,34.9891,34.5166,53.9581
Destiny,iso_area,ReadDynamicEnergy,SRAM,256,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
Destiny,iso_area,ReadDynamicEnergy,SRAM,512,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
Destiny,iso_area,ReadDynamicEnergy,SRAM,1024,222772,0.277,0.188,233.496,204.778,256.825,256.352,431.665
Destiny,iso_area,ReadDynamicEnergy,SRAM,2048,386862,0.387,0.276,123.416,109.725,263.058,262.166,986.154
Destiny,iso_area,ReadDynamicEnergy,SRAM,4096,481254,0.511,0.346,118.21,101.762,269.835,268.91,1176.73
Destiny,iso_area,ReadDynamicEnergy,RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,iso_area,ReadDynamicEnergy,RRAM,32,667765,2.3575,20.4833,10.2451,0.795,57.74,421.764,1243.37
Destiny,iso_area,ReadDynamicEnergy,RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,iso_area,ReadDynamicEnergy,RRAM,128,966627,2.57263,20.5725,9.91921,0.794,64.8628,427.529,2534.05
Destiny,iso_area,ReadDynamicEnergy,RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,iso_area,ReadDynamicEnergy,RRAM,512,2182510.0,3.143,20.8131,9.16191,0.794,85.4509,445.324,5443.46
Destiny,iso_area,ReadDynamicEnergy,RRAM,1024,3263030.0,3.43229,20.9428,9.08209,0.795,112.362,472.08,11143.0
Destiny,iso_area,ReadDynamicEnergy,RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,iso_area,ReadDynamicEnergy,RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,iso_area,ReadDynamicEnergy,PCRAM,16,47441.2,0.055,150.031,492.303,0.107,166.684,11626.9,7.97047
Destiny,iso_area,ReadDynamicEnergy,PCRAM,32,81812.6,0.162,150.107,186.542,0.107,265.678,11546.3,47.1998
Destiny,iso_area,ReadDynamicEnergy,PCRAM,64,82055.6,0.162,150.107,186.542,0.107,294.543,11575.2,94.3997
Destiny,iso_area,ReadDynamicEnergy,PCRAM,128,82541.6,0.162,150.107,186.542,0.107,354.695,11635.4,188.799
Destiny,iso_area,ReadDynamicEnergy,PCRAM,256,83513.6,0.162,150.107,186.542,0.107,484.687,11765.3,377.599
Destiny,iso_area,ReadDynamicEnergy,PCRAM,512,85497.3,0.175,150.119,177.055,0.107,503.923,11766.8,382.817
Destiny,iso_area,ReadDynamicEnergy,PCRAM,1024,90445.1,0.216,150.154,170.082,0.107,542.386,11769.8,392.713
Destiny,iso_area,ReadDynamicEnergy,PCRAM,2048,150723,0.245,150.16,361.181,0.107,507.71,11775.1,132.851
Destiny,iso_area,ReadDynamicEnergy,PCRAM,4096,138828,0.263,150.192,189.917,0.107,760.876,11775.2,352.009
Destiny,iso_area,WriteDynamicEnergy,STTRAM,16,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
Destiny,iso_area,WriteDynamicEnergy,STTRAM,32,778811,2.25915,10.4626,10.5895,1.58104,70.4137,167.139,2483.62
Destiny,iso_area,WriteDynamicEnergy,STTRAM,64,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
Destiny,iso_area,WriteDynamicEnergy,STTRAM,128,1685270.0,2.71568,10.7015,10.478,1.57573,86.3362,182.22,5054.96
Destiny,iso_area,WriteDynamicEnergy,STTRAM,256,2368380.0,2.81952,10.7273,10.4903,1.58389,110.469,206.226,10266.8
Destiny,iso_area,WriteDynamicEnergy,STTRAM,512,4250380.0,3.99365,11.3692,10.4619,1.56199,117.282,211.588,10456.5
Destiny,iso_area,WriteDynamicEnergy,STTRAM,1024,5278410.0,4.17798,11.3999,10.2681,1.58104,145.377,239.429,22148.9
Destiny,iso_area,WriteDynamicEnergy,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_area,WriteDynamicEnergy,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_area,WriteDynamicEnergy,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_area,WriteDynamicEnergy,SRAM,32,94133.2,0.153,0.126,233.496,204.778,12.7686,12.2961,13.4895
Destiny,iso_area,WriteDynamicEnergy,SRAM,64,188266,0.276,0.188,233.496,204.778,20.6576,20.1851,26.9791
