Tool,Isolation,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
Destiny,iso_capacity,ReadEDP,STTRAM,128,1200550.0,2.1545,10.3948,10.4903,1.58389,91.944,187.702,5133.39
Destiny,iso_capacity,ReadEDP,STTRAM,256,1948220.0,2.73214,10.6927,10.4801,1.58104,104.594,200.429,10176.4
Destiny,iso_capacity,ReadEDP,STTRAM,512,2368620.0,2.81954,10.7273,10.4903,1.58389,139.872,235.63,20533.5
Destiny,iso_capacity,ReadEDP,STTRAM,1024,4283510.0,3.99366,11.3692,10.4619,1.56199,131.883,226.188,20912.9
Destiny,iso_capacity,ReadEDP,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_capacity,ReadEDP,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_capacity,ReadEDP,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_capacity,ReadEDP,SRAM,32,94133.2,0.153,0.126,233.496,204.778,12.7686,12.2961,13.4895
Destiny,iso_capacity,ReadEDP,SRAM,64,126776,0.153,0.126,233.496,204.778,26.9655,26.4931,26.9791
Destiny,iso_capacity,ReadEDP,SRAM,128,127019,0.153,0.126,233.496,204.778,55.9649,55.4925,53.9581
Destiny,iso_capacity,ReadEDP,SRAM,256,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
Destiny,iso_capacity,ReadEDP,SRAM,512,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
Destiny,iso_capacity,ReadEDP,SRAM,1024,222772,0.277,0.188,233.496,204.778,256.825,256.352,431.665
Destiny,iso_capacity,ReadEDP,SRAM,2048,295300,0.265,0.197,191.038,151.326,258.918,257.946,471.897
Destiny,iso_capacity,ReadEDP,SRAM,4096,396124,0.399,0.288,170.986,140.64,265.83,264.794,660.679
Destiny,iso_capacity,ReadEDP,RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,iso_capacity,ReadEDP,RRAM,32,312687,1.81313,20.1811,10.1778,0.798,58.5622,422.445,1241.76
Destiny,iso_capacity,ReadEDP,RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,iso_capacity,ReadEDP,RRAM,128,986694,2.16735,20.3458,9.80925,0.796,75.1785,437.691,2573.18
Destiny,iso_capacity,ReadEDP,RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,iso_capacity,ReadEDP,RRAM,512,1124300.0,2.45034,20.4668,9.16191,0.794,80.887,440.76,5443.46
Destiny,iso_capacity,ReadEDP,RRAM,1024,2215640.0,3.14301,20.8131,9.16191,0.794,100.052,459.925,10886.9
Destiny,iso_capacity,ReadEDP,RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,iso_capacity,ReadEDP,RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,iso_capacity,ReadEDP,PCRAM,16,47441.2,0.055,150.031,492.303,0.107,166.684,11626.9,7.97047
Destiny,iso_capacity,ReadEDP,PCRAM,32,48413.2,0.055,150.031,492.303,0.107,293.986,11754.2,15.9409
Destiny,iso_capacity,ReadEDP,PCRAM,64,60342.9,0.076,150.044,406.374,0.107,358.245,11758.6,28.7566
Destiny,iso_capacity,ReadEDP,PCRAM,128,53263.3,0.088,150.06,368.628,0.107,366.446,11758.0,33.7767
Destiny,iso_capacity,ReadEDP,PCRAM,256,55337.9,0.124,150.095,343.798,0.107,386.775,11760.6,37.8021
Destiny,iso_capacity,ReadEDP,PCRAM,512,58588.4,0.136,150.103,312.539,0.107,424.18,11762.5,45.2148
Destiny,iso_capacity,ReadEDP,PCRAM,1024,92574,0.156,150.115,361.181,0.107,499.954,11767.3,66.4254
Destiny,iso_capacity,ReadEDP,PCRAM,2048,110833,0.189,150.135,262.906,0.107,645.418,11770.9,99.7694
Destiny,iso_capacity,ReadEDP,PCRAM,4096,138828,0.263,150.192,189.917,0.107,760.876,11775.2,352.009
Destiny,iso_capacity,WriteEDP,STTRAM,16,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
Destiny,iso_capacity,WriteEDP,STTRAM,32,778811,2.25915,10.4626,10.5895,1.58104,70.4137,167.139,2483.62
Destiny,iso_capacity,WriteEDP,STTRAM,64,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
Destiny,iso_capacity,WriteEDP,STTRAM,128,1685270.0,2.71568,10.7015,10.478,1.57573,86.3362,182.22,5054.96
Destiny,iso_capacity,WriteEDP,STTRAM,256,2368380.0,2.81952,10.7273,10.4903,1.58389,110.469,206.226,10266.8
Destiny,iso_capacity,WriteEDP,STTRAM,512,4250380.0,3.99365,11.3692,10.4619,1.56199,117.282,211.588,10456.5
Destiny,iso_capacity,WriteEDP,STTRAM,1024,5278410.0,4.17798,11.3999,10.2681,1.58104,145.377,239.429,22148.9
Destiny,iso_capacity,WriteEDP,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_capacity,WriteEDP,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_capacity,WriteEDP,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_capacity,WriteEDP,SRAM,32,94133.2,0.153,0.126,233.496,204.778,12.7686,12.2961,13.4895
Destiny,iso_capacity,WriteEDP,SRAM,64,126776,0.153,0.126,233.496,204.778,26.9655,26.4931,26.9791
Destiny,iso_capacity,WriteEDP,SRAM,128,221071,0.276,0.188,233.496,204.778,34.9891,34.5166,53.9581
Destiny,iso_capacity,WriteEDP,SRAM,256,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
Destiny,iso_capacity,WriteEDP,SRAM,512,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
Destiny,iso_capacity,WriteEDP,SRAM,1024,222772,0.277,0.188,233.496,204.778,256.825,256.352,431.665
Destiny,iso_capacity,WriteEDP,SRAM,2048,386862,0.387,0.276,123.416,109.725,263.058,262.166,986.154
Destiny,iso_capacity,WriteEDP,SRAM,4096,481254,0.511,0.346,118.21,101.762,269.835,268.91,1176.73
Destiny,iso_capacity,WriteEDP,RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,iso_capacity,WriteEDP,RRAM,32,312687,1.81313,20.1811,10.1778,0.798,58.5622,422.445,1241.76
Destiny,iso_capacity,WriteEDP,RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,iso_capacity,WriteEDP,RRAM,128,966627,2.57263,20.5725,9.91921,0.794,64.8628,427.529,2534.05
Destiny,iso_capacity,WriteEDP,RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,iso_capacity,WriteEDP,RRAM,512,1124300.0,2.45034,20.4668,9.16191,0.794,80.887,440.76,5443.46
Destiny,iso_capacity,WriteEDP,RRAM,1024,2215640.0,3.14301,20.8131,9.16191,0.794,100.052,459.925,10886.9
Destiny,iso_capacity,WriteEDP,RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,iso_capacity,WriteEDP,RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,iso_capacity,WriteEDP,PCRAM,16,49250.6,0.162,150.107,186.542,0.107,251.548,11532.2,23.5999
Destiny,iso_capacity,WriteEDP,PCRAM,32,81812.6,0.162,150.107,186.542,0.107,265.678,11546.3,47.1998
Destiny,iso_capacity,WriteEDP,PCRAM,64,140280,0.284,150.178,108.897,0.107,498.629,11539.8,128.885
Destiny,iso_capacity,WriteEDP,PCRAM,128,173085,0.284,150.178,108.897,0.107,512.96,11554.2,257.77
Destiny,iso_capacity,WriteEDP,PCRAM,256,518061,0.768,150.409,79.7082,0.107,999.14,11561.2,745.385
Destiny,iso_capacity,WriteEDP,PCRAM,512,551109,0.768,150.409,79.7082,0.107,1013.67,11575.7,1490.77
Destiny,iso_capacity,WriteEDP,PCRAM,1024,551352,0.768,150.409,79.7082,0.107,1043.35,11605.4,2981.54
Destiny,iso_capacity,WriteEDP,PCRAM,2048,551838,0.768,150.409,79.7082,0.107,1105.11,11667.2,5963.08
Destiny,iso_capacity,WriteEDP,PCRAM,4096,552810,0.769,150.409,79.7082,0.107,1238.34,11800.4,11926.2
Destiny,iso_capacity,LeakagePower,STTRAM,16,64702.3,1.67072,10.1896,10.6628,1.58816,42.5707,139.877,154.8
Destiny,iso_capacity,LeakagePower,STTRAM,32,72409.2,1.67862,10.1961,10.4744,1.58814,43.4238,140.821,155.472
Destiny,iso_capacity,LeakagePower,STTRAM,64,86787.4,1.68789,10.202,10.1156,1.58811,44.8425,142.42,156.675
Destiny,iso_capacity,LeakagePower,STTRAM,128,115742,1.75505,10.2596,9.45341,1.58804,47.5368,145.475,159.196
Destiny,iso_capacity,LeakagePower,STTRAM,256,171127,1.81242,10.288,8.31438,1.58794,52.6078,151.261,163.981
Destiny,iso_capacity,LeakagePower,STTRAM,512,337037,2.16028,10.4751,9.32564,1.58095,71.1897,167.649,188.558
Destiny,iso_capacity,LeakagePower,STTRAM,1024,451923,2.0957,10.4699,8.21441,1.57519,66.1792,163.395,202.251
Destiny,iso_capacity,LeakagePower,STTRAM,2048,903847,2.22955,10.5368,8.21441,1.57519,74.7284,171.944,404.503
Destiny,iso_capacity,LeakagePower,STTRAM,4096,1725440.0,2.96081,10.8862,8.08355,1.5752,108.428,203.795,518.954
Destiny,iso_capacity,LeakagePower,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_capacity,LeakagePower,SRAM,32,81341.6,0.14,0.113,282.43,241.469,25.036,24.7787,11.445
Destiny,iso_capacity,LeakagePower,SRAM,64,188266,0.276,0.188,233.496,204.778,20.6576,20.1851,26.9791
Destiny,iso_capacity,LeakagePower,SRAM,128,221071,0.276,0.188,233.496,204.778,34.9891,34.5166,53.9581
Destiny,iso_capacity,LeakagePower,SRAM,256,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
Destiny,iso_capacity,LeakagePower,SRAM,512,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
Destiny,iso_capacity,LeakagePower,SRAM,1024,276100,0.391,0.251,210.547,178.478,130.299,129.811,267.584
Destiny,iso_capacity,LeakagePower,SRAM,2048,277072,0.391,0.251,210.547,178.478,262.444,261.957,535.167
Destiny,iso_capacity,LeakagePower,SRAM,4096,756607,0.956,0.566,170.986,140.64,150.162,149.126,660.679
Destiny,iso_capacity,LeakagePower,RRAM,16,89729.5,1.72168,20.2019,10.3191,0.798,34.0525,400.854,154.949
Destiny,iso_capacity,LeakagePower,RRAM,32,74152,1.74306,20.1973,10.0701,0.797,33.6334,399.529,155.799
Destiny,iso_capacity,LeakagePower,RRAM,64,195949,1.78064,20.245,10.0148,0.797,40.4511,414.153,155.964
Destiny,iso_capacity,LeakagePower,RRAM,128,154841,1.84147,20.2575,9.81541,0.796,41.3272,414.124,156.987
Destiny,iso_capacity,LeakagePower,RRAM,256,167146,1.84518,20.2889,9.32269,0.795,42.2339,424.231,158.413
Destiny,iso_capacity,LeakagePower,RRAM,512,191711,1.89891,20.3977,8.4654,0.793,43.7063,444.105,161.323
Destiny,iso_capacity,LeakagePower,RRAM,1024,235557,1.92016,20.5289,7.12926,0.788,46.0839,483.286,166.78
Destiny,iso_capacity,LeakagePower,RRAM,2048,322118,1.99586,20.8213,5.36999,0.778,50.4968,561.305,177.953
Destiny,iso_capacity,LeakagePower,RRAM,4096,231871,2.15947,20.9135,5.24853,0.774,40.2823,549.868,191.67
Destiny,iso_capacity,LeakagePower,PCRAM,16,47441.2,0.055,150.031,492.303,0.107,166.684,11626.9,7.97047
Destiny,iso_capacity,LeakagePower,PCRAM,32,81812.6,0.162,150.107,186.542,0.107,265.678,11546.3,47.1998
Destiny,iso_capacity,LeakagePower,PCRAM,64,140280,0.284,150.178,108.897,0.107,498.629,11539.8,128.885
Destiny,iso_capacity,LeakagePower,PCRAM,128,147485,0.298,150.188,108.93,0.107,534.877,11540.6,129.724
Destiny,iso_capacity,LeakagePower,PCRAM,256,150604,0.421,150.281,101.144,0.107,608.246,11542.8,105.548
Destiny,iso_capacity,LeakagePower,PCRAM,512,1255650.0,1.50092,150.831,113.298,0.107,1088.26,11579.3,361.713
Destiny,iso_capacity,LeakagePower,PCRAM,1024,1338380.0,1.6359,150.914,111.451,0.107,1232.91,11581.8,372.679
Destiny,iso_capacity,LeakagePower,PCRAM,2048,1490050.0,1.85828,151.027,108.043,0.107,1521.64,11586.3,394.493
Destiny,iso_capacity,LeakagePower,PCRAM,4096,2112070.0,2.37784,151.287,121.841,0.107,2100.82,11597.0,433.224
Destiny,iso_capacity,Area,STTRAM,16,72878.8,1.53123,10.0569,10.8595,1.59588,265.89,363.111,2464.18
Destiny,iso_capacity,Area,STTRAM,32,112062,1.55343,10.068,10.8595,1.59588,270.286,367.508,4928.35
Destiny,iso_capacity,Area,STTRAM,64,113801,1.60666,10.1206,10.8417,1.59433,272.89,370.117,4931.51
Destiny,iso_capacity,Area,STTRAM,128,77293.1,1.62149,10.1463,10.7612,1.59426,271.155,368.416,2471.94
Destiny,iso_capacity,Area,STTRAM,256,120647,1.64858,10.1599,10.7612,1.59426,277.07,374.331,4943.89
Destiny,iso_capacity,Area,STTRAM,512,77737.7,1.67455,10.1953,10.1156,1.58811,275.711,373.288,1253.4
Destiny,iso_capacity,Area,STTRAM,1024,121293,1.68806,10.2021,10.1156,1.58811,281.009,378.587,2506.8
Destiny,iso_capacity,Area,STTRAM,2048,208162,1.74211,10.2291,10.1156,1.58811,287.749,385.326,5013.6
Destiny,iso_capacity,Area,STTRAM,4096,532391,2.01665,10.4052,10.4392,1.57421,300.484,396.407,20350.4
Destiny,iso_capacity,Area,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_capacity,Area,SRAM,32,41450.3,0.059,0.056,339.17,322.607,231.902,231.748,14.0418
Destiny,iso_capacity,Area,SRAM,64,58658,0.098,0.088,293.375,267.572,109.34,109.079,26.9805
Destiny,iso_capacity,Area,SRAM,128,59630,0.098,0.088,293.375,267.572,238.256,237.995,53.961
Destiny,iso_capacity,Area,SRAM,256,81329.6,0.122,0.111,233.496,204.778,241.984,241.512,107.916
Destiny,iso_capacity,Area,SRAM,512,94965.3,0.14,0.126,210.547,178.478,244.272,243.785,133.792
Destiny,iso_capacity,Area,SRAM,1024,155749,0.19,0.151,210.547,178.478,251.32,250.832,267.584
Destiny,iso_capacity,Area,SRAM,2048,257839,0.289,0.234,118.21,101.762,257.085,256.16,588.363
Destiny,iso_capacity,Area,SRAM,4096,303080,0.373,0.307,100.066,93.887,261.586,260.467,576.56
Destiny,iso_capacity,Area,RRAM,16,172462,1.68412,20.1166,10.1778,0.798,50.4847,414.368,620.88
Destiny,iso_capacity,Area,RRAM,32,172705,1.68414,20.1166,10.1778,0.798,79.0804,442.964,1241.76
Destiny,iso_capacity,Area,RRAM,64,104051,1.65203,20.1005,10.1778,0.798,262.395,626.278,2483.52
Destiny,iso_capacity,Area,RRAM,128,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
Destiny,iso_capacity,Area,RRAM,256,176088,1.73833,20.1711,10.1782,0.797,270.298,634.469,4970.8
Destiny,iso_capacity,Area,RRAM,512,108496,1.74323,20.1974,10.0701,0.797,267.782,633.678,2492.78
Destiny,iso_capacity,Area,RRAM,1024,182810,1.77939,20.2155,10.0701,0.797,274.435,640.331,4985.57
Destiny,iso_capacity,Area,RRAM,2048,331195,1.92403,20.2878,10.0701,0.797,284.037,649.933,9971.13
Destiny,iso_capacity,Area,RRAM,4096,288582,2.01242,20.3532,9.79297,0.793,279.829,644.508,10169.7
Destiny,iso_capacity,Area,PCRAM,16,49250.6,0.162,150.107,186.542,0.107,251.548,11532.2,23.5999
Destiny,iso_capacity,Area,PCRAM,32,81812.6,0.162,150.107,186.542,0.107,265.678,11546.3,47.1998
Destiny,iso_capacity,Area,PCRAM,64,82055.6,0.162,150.107,186.542,0.107,294.543,11575.2,94.3997
Destiny,iso_capacity,Area,PCRAM,128,53263.3,0.088,150.06,368.628,0.107,366.446,11758.0,33.7767
Destiny,iso_capacity,Area,PCRAM,256,55337.9,0.124,150.095,343.798,0.107,386.775,11760.6,37.8021
Destiny,iso_capacity,Area,PCRAM,512,58588.4,0.136,150.103,312.539,0.107,424.18,11762.5,45.2148
Destiny,iso_capacity,Area,PCRAM,1024,66774.8,0.184,150.141,161.869,0.107,609.676,11766.1,205.615
Destiny,iso_capacity,Area,PCRAM,2048,117277,0.277,150.195,107.356,0.107,838.59,11773.2,1050.49
Destiny,iso_capacity,Area,PCRAM,4096,131570,0.301,150.209,104.165,0.107,984.406,11777.0,1074.59
