Configuration,Total_Area,Read_L,Write_L,Read_BW,Write_BW,RDE,WDE,Leakage_Power
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/1024KB/1024KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/2048KB/2048KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/16KB/16KB.out,86384.290um^2,1.648ns,10.160ns,10.761GB/s,1.594GB/s,43.931pJ,141.192pJ,308.993uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/32KB/32KB.out,43393.687um^2,1.674ns,10.195ns,10.116GB/s,1.588GB/s,41.562pJ,139.140pJ,78.337uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/64KB/64KB.out,86787.374um^2,1.688ns,10.202ns,10.116GB/s,1.588GB/s,44.843pJ,142.420pJ,156.675uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/128KB/128KB.out,173574.749um^2,1.742ns,10.229ns,10.116GB/s,1.588GB/s,50.572pJ,148.150pJ,313.350uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/256KB/256KB.out,171126.657um^2,1.812ns,10.288ns,8.314GB/s,1.588GB/s,52.608pJ,151.261pJ,163.981uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/512KB/512KB.out,413514.033um^2,1.924ns,10.352ns,10.066GB/s,1.578GB/s,56.821pJ,153.901pJ,642.628uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/1024KB/1024KB.out,651458.769um^2,2.102ns,10.432ns,9.967GB/s,1.578GB/s,69.456pJ,165.642pJ,679.355uW
